,Date,Time,Open,High,Low,Close,Volume
1599,2021.12.22,00:00,1790.48,1804.93,1785.79,1803.63,55604
1600,2021.12.23,00:00,1803.55,1810.58,1798.88,1808.42,49748
1601,2021.12.26,00:00,1806.02,1808.6,1806.01,1807.25,1067
1602,2021.12.27,00:00,1807.27,1813.32,1802.85,1812.26,49552
1603,2021.12.28,00:00,1812.34,1820.11,1804.94,1806.44,52304
1604,2021.12.29,00:00,1806.22,1807.6,1789.3,1804.46,56076
1605,2021.12.30,00:00,1804.64,1817.06,1796.08,1815.65,52474
1606,2021.12.31,00:00,1815.75,1830.27,1814.59,1829.39,47656
1607,2022.01.02,00:00,1830.64,1831.65,1827.92,1828.37,1009
1608,2022.01.03,00:00,1828.34,1831.46,1798.23,1804.14,60470
1609,2022.01.04,00:00,1803.84,1816.6,1798.46,1813.8,68861
1610,2022.01.05,00:00,1813.79,1829.54,1808.2,1810.21,68624
1611,2022.01.06,00:00,1810.31,1811.41,1786.36,1791.29,81458
1612,2022.01.07,00:00,1791.16,1798.52,1782.52,1796.86,67011
1613,2022.01.09,00:00,1795.09,1796.08,1794.47,1795.08,1313
1614,2022.01.10,00:00,1794.97,1802.72,1790.28,1801.12,69236
1615,2022.01.11,00:00,1801.21,1823.15,1801.18,1820.6,71040
1616,2022.01.12,00:00,1820.44,1827.95,1814.6,1825.19,67150
1617,2022.01.13,00:00,1825.25,1828.07,1812.2,1820.71,66175
1618,2022.01.14,00:00,1820.72,1829.03,1814.57,1817.69,72363
1619,2022.01.16,00:00,1817.42,1818.04,1815.76,1816.26,1037
1620,2022.01.17,00:00,1816.27,1823.09,1813.03,1818.97,38477
1621,2022.01.18,00:00,1819.28,1822.69,1805.64,1814.17,80668
1622,2022.01.19,00:00,1814.3,1843.27,1810.14,1838.39,79860
1623,2022.01.20,00:00,1838.67,1847.83,1835.85,1838.81,78476
1624,2022.01.21,00:00,1838.68,1843.06,1828.39,1834.52,80187
1625,2022.01.23,00:00,1833.07,1837.02,1833.07,1834.54,1751
1626,2022.01.24,00:00,1834.79,1844.2,1829.7,1843.5,85084
1627,2022.01.25,00:00,1843.52,1853.73,1834.81,1849.38,78663
1628,2022.01.26,00:00,1849.41,1849.41,1814.87,1821.8,78044
1629,2022.01.27,00:00,1821.82,1821.84,1791.71,1797.13,93641
1630,2022.01.28,00:00,1796.94,1799.31,1780.12,1791.53,80851
1631,2022.01.30,00:00,1789.13,1790.56,1788.26,1789.43,1890
1632,2022.01.31,00:00,1789.49,1799.79,1785.43,1797.74,69724
1633,2022.02.01,00:00,1797.63,1808.63,1795.61,1800.7,68341
1634,2022.02.02,00:00,1800.71,1810.66,1794.3,1807.78,61733
1635,2022.02.03,00:00,1807.67,1808.84,1788.57,1805.66,70193
1636,2022.02.04,00:00,1805.56,1814.77,1792.09,1807.72,69989
1637,2022.02.06,00:00,1808.32,1811.37,1807.75,1809.94,1890
